;num listins;precio medio;noches ocupadas año;ingreso mensual;ocupación estimada;%apartamentos;multilistings;Availability high
Girona;392;69;103;503;28,4;72;60,6;85
Barcelona;17369;84;99;582;27,2;50,4;57,5;71,7
Madrid;12775;67;99;504;27,1;60,2;52;73,8
París;55723;95;91;668;25;85,7;20,8;53,6
Nova York;40227;147;116;1351;31,9;49,5;26,5;58,2
Roma;25275;90;78;511;21,3;60,1;60,7;91,4
Amsterdam;13849;133;96;982;26,4;80,6;24,6;51,6
Berlín;20576;58;95;471;26,1;50;21,8;38,2
Palma de Mallorca;2972;90;74;424;20,4;69;57,1;92,4
Girona provincia;8049;112;33;213;9,2;88;59,9;87,7
Hong Kong;6474;774 HKK;67;3556 HKK;18,2;49,9;59,4;70
